response_id,prompt_id,prompt,response,task_decomposition,sequencing_logic,actionability,cognitive_load,notes
R034,S3-P10,"I just got my draft of the Introduction chapter back from my thesis adviser, and I am overwhelmed by the required revisions. The adviser left three main comments: 1) The research gap is not clearly explicitly stated, 2) The transition between the background context and the problem statement is abrupt and confusing, and 3) I need to incorporate at least three more recent sources (published between 2024-2026) to justify the severity of the problem. Break this revision process down into actionable microtasks so I can tackle these edits without panicking, noting which microtasks depend on others and which can be worked on independently.","{
  ""microtasks"": [
    {
      ""id"": 1,
      ""description"": ""Search academic databases for at least three sources published between 2024 and 2026 that document the current severity or relevance of the research problem."",
      ""prerequisites"": []
    },
    {
      ""id"": 2,
      ""description"": ""Read the selected 2024-2026 sources and extract key statistics, findings, or quotes that demonstrate the severity of the problem."",
      ""prerequisites"": [1]
    },
    {
      ""id"": 3,
      ""description"": ""Draft the integration of the new 2024-2026 sources into the section of the Introduction that establishes the problem's severity."",
      ""prerequisites"": [2]
    },
    {
      ""id"": 4,
      ""description"": ""Draft a single, explicit sentence that clearly states the research gap (e.g., 'However, what remains unexplored is...')."",
      ""prerequisites"": []
    },
    {
      ""id"": 5,
      ""description"": ""Insert the drafted research gap statement into the Introduction chapter, ensuring it logically follows the literature review."",
      ""prerequisites"": [4]
    },
    {
      ""id"": 6,
      ""description"": ""Analyze the existing text between the background context and the problem statement to identify the exact point where the transition feels abrupt."",
      ""prerequisites"": []
    },
    {
      ""id"": 7,
      ""description"": ""Draft bridging sentences or a transitional paragraph that connects the broad background context to the specific problem statement."",
      ""prerequisites"": [6]
    },
    {
      ""id"": 8,
      ""description"": ""Integrate the drafted transitional sentences into the manuscript, revising surrounding sentences for smooth flow."",
      ""prerequisites"": [7]
    },
    {
      ""id"": 9,
      ""description"": ""Add the full citations for the three new 2024-2026 sources to the thesis reference list."",
      ""prerequisites"": [3]
    },
    {
      ""id"": 10,
      ""description"": ""Read through the entire revised Introduction chapter to ensure cohesive flow between the background, transition, problem statement, and research gap."",
      ""prerequisites"": [3, 5, 8, 9]
    }
  ]
}",,,,,
R035,S3-P3,"I need to write the Significance of the Study section for a research paper on sleep deprivation and academic performance among undergraduate students. The section needs to address significance to the academic community, to university administrators, and to student health services. Give me the most granular breakdown of microtasks possible for writing this section.","{
  ""microtasks"": [
    {
      ""id"": 1,
      ""description"": ""List specific gaps in existing literature on undergraduate sleep deprivation that this study addresses."",
      ""prerequisites"": []
    },
    {
      ""id"": 2,
      ""description"": ""List potential policy, scheduling, or housing changes university administrators could implement based on this study's findings."",
      ""prerequisites"": []
    },
    {
      ""id"": 3,
      ""description"": ""List specific wellness campaigns, counseling interventions, or educational programs student health services could develop using this study's findings."",
      ""prerequisites"": []
    },
    {
      ""id"": 4,
      ""description"": ""Draft the opening paragraph of the Significance of the Study section to establish the overall purpose and scope."",
      ""prerequisites"": []
    },
    {
      ""id"": 5,
      ""description"": ""Draft the paragraph detailing the study's theoretical contribution to the academic community."",
      ""prerequisites"": [1, 4]
    },
    {
      ""id"": 6,
      ""description"": ""Draft the paragraph detailing the practical implications for university administrators."",
      ""prerequisites"": [2, 4]
    },
    {
      ""id"": 7,
      ""description"": ""Draft the paragraph detailing the clinical or wellness implications for student health services."",
      ""prerequisites"": [3, 4]
    },
    {
      ""id"": 8,
      ""description"": ""Integrate the drafted paragraphs into a single cohesive section."",
      ""prerequisites"": [5, 6, 7]
    },
    {
      ""id"": 9,
      ""description"": ""Revise the transitions between the academic, administrative, and health services subsections for smooth flow."",
      ""prerequisites"": [8]
    },
    {
      ""id"": 10,
      ""description"": ""Proofread the entire Significance of the Study section for academic tone, grammar, and formatting compliance."",
      ""prerequisites"": [9]
    }
  ]
}",,,,,
R036,S3-P3,"I need to write the Significance of the Study section for a research paper on sleep deprivation and academic performance among undergraduate students. The section needs to address significance to the academic community, to university administrators, and to student health services. Give me the most granular breakdown of microtasks possible for writing this section.","{
  ""microtasks"": [
    {
      ""id"": 1,
      ""description"": ""Brainstorm the specific contributions of the study to the academic community, focusing on literature gaps, theoretical frameworks, or methodological approaches regarding sleep deprivation and academic performance."",
      ""prerequisites"": []
    },
    {
      ""id"": 2,
      ""description"": ""Brainstorm the practical implications of the study for university administrators, focusing on policy changes, class scheduling, exam timing, or campus resource allocation."",
      ""prerequisites"": []
    },
    {
      ""id"": 3,
      ""description"": ""Brainstorm the practical implications of the study for student health services, focusing on wellness campaigns, sleep hygiene workshops, mental health support, or early intervention strategies."",
      ""prerequisites"": []
    },
    {
      ""id"": 4,
      ""description"": ""Create a structured outline for the Significance of the Study section, organizing the brainstormed points into logical subsections."",
      ""prerequisites"": [1, 2, 3]
    },
    {
      ""id"": 5,
      ""description"": ""Draft the introductory paragraph of the Significance of the Study section, establishing the overall context and framing why this research matters."",
      ""prerequisites"": [4]
    },
    {
      ""id"": 6,
      ""description"": ""Draft the subsection detailing the significance of the study to the academic community, incorporating the brainstormed theoretical or literature contributions."",
      ""prerequisites"": [1, 4]
    },
    {
      ""id"": 7,
      ""description"": ""Draft the subsection detailing the significance of the study to university administrators, incorporating the brainstormed institutional and policy implications."",
      ""prerequisites"": [2, 4]
    },
    {
      ""id"": 8,
      ""description"": ""Draft the subsection detailing the significance of the study to student health services, incorporating the brainstormed clinical, educational, or outreach implications."",
      ""prerequisites"": [3, 4]
    },
    {
      ""id"": 9,
      ""description"": ""Draft a concluding paragraph for the section that synthesizes the collective impact of the study across all three stakeholders."",
      ""prerequisites"": [5, 6, 7, 8]
    },
    {
      ""id"": 10,
      ""description"": ""Review the entire drafted section to ensure smooth transitions between the stakeholder groups and a consistent academic tone."",
      ""prerequisites"": [9]
    },
    {
      ""id"": 11,
      ""description"": ""Proofread the section for grammar, spelling, punctuation, and sentence structure."",
      ""prerequisites"": [10]
    },
    {
      ""id"": 12,
      ""description"": ""Format the section according to the required academic style guide (e.g., APA, MLA) including headings and spacing."",
      ""prerequisites"": [11]
    }
  ]
}",,,,,
R037,S3-P4,"I am tasked with writing the methodology section for a research paper on the effects of social media on teenagers, in which we will be surveying and interviewing undergraduate students within our college. Break this down into microtasks that are simple to understand and initiate, noting which microtasks depend on others and which can be worked on independently.","{""microtasks"": [{""id"": 1, ""description"": ""Define research objectives and specific research questions about social media's effects on teenagers."", ""prerequisites"": []}, {""id"": 2, ""description"": ""Review existing academic literature on social media impacts on teenage behavior and mental health."", ""prerequisites"": [1]}, {""id"": 3, ""description"": ""Draft the initial survey questionnaire based on literature and research questions."", ""prerequisites"": [1, 2]}, {""id"": 4, ""description"": ""Pilot test the survey with a small group of students and collect feedback."", ""prerequisites"": [3]}, {""id"": 5, ""description"": ""Submit the survey and interview protocols to the Institutional Review Board (IRB) for approval."", ""prerequisites"": [3, 4]}, {""id"": 6, ""description"": ""Create a sampling plan and recruit undergraduate participants for the study."", ""prerequisites"": [5]}, {""id"": 7, ""description"": ""Distribute the finalized survey to recruited participants and track responses."", ""prerequisites"": [6]}, {""id"": 8, ""description"": ""Develop a semi\u2011structured interview guide aligned with the research questions."", ""prerequisites"": [1, 2]}, {""id"": 9, ""description"": ""Schedule interview times with participants and conduct the recorded interviews."", ""prerequisites"": [6, 8]}, {""id"": 10, ""description"": ""Perform quantitative data analysis on the survey responses (e.g., descriptive statistics, correlations)."", ""prerequisites"": [7]}, {""id"": 11, ""description"": ""Perform qualitative data analysis on interview transcripts (e.g., thematic coding)."", ""prerequisites"": [9]}, {""id"": 12, ""description"": ""Write the methodology section of the research paper, describing participants, procedures, instruments, and analysis."", ""prerequisites"": [5, 7, 9, 10, 11]}]}",,,,,
R038,S3-P3,"I need to write the Significance of the Study section for a research paper on sleep deprivation and academic performance among undergraduate students. The section needs to address significance to the academic community, to university administrators, and to student health services. Give me the most granular breakdown of microtasks possible for writing this section.","{
  ""microtasks"": [
    {
      ""id"": 1,
      ""description"": ""Re-read the study's objectives, methodology, and anticipated/actual findings to internalize its unique contribution."",
      ""prerequisites"": []
    },
    {
      ""id"": 2,
      ""description"": ""List specific gaps in existing literature that this study addresses regarding sleep deprivation and academic performance."",
      ""prerequisites"": [
        1
      ]
    },
    {
      ""id"": 3,
      ""description"": ""List ways this study might refine, support, or challenge existing theories related to sleep, cognition, or student success."",
      ""prerequisites"": [
        1
      ]
    },
    {
      ""id"": 4,
      ""description"": ""List specific avenues for future research that this study opens up."",
      ""prerequisites"": [
        1
      ]
    },
    {
      ""id"": 5,
      ""description"": ""List potential policy changes or new initiatives university administrators could implement based on this study's findings."",
      ""prerequisites"": [
        1
      ]
    },
    {
      ""id"": 6,
      ""description"": ""List how this study could inform resource allocation decisions for university services or programs."",
      ""prerequisites"": [
        1
      ]
    },
    {
      ""id"": 7,
      ""description"": ""List how addressing sleep deprivation could positively impact the university's reputation or student retention."",
      ""prerequisites"": [
        1
      ]
    },
    {
      ""id"": 8,
      ""description"": ""List specific intervention programs or workshops student health services could develop or improve."",
      ""prerequisites"": [
        1
      ]
    },
    {
      ""id"": 9,
      ""description"": ""List ways this study could inform awareness campaigns about sleep health for students."",
      ""prerequisites"": [
        1
      ]
    },
    {
      ""id"": 10,
      ""description"": ""List how this study could inform counseling approaches or support services for students struggling with sleep."",
      ""prerequisites"": [
        1
      ]
    },
    {
      ""id"": 11,
      ""description"": ""Write a concise opening sentence or two that introduces the 'Significance of the Study' section and briefly states the study's overall importance."",
      ""prerequisites"": []
    },
    {
      ""id"": 12,
      ""description"": ""Write an introductory sentence for the 'Significance to the Academic Community' subsection."",
      ""prerequisites"": [
        11
      ]
    },
    {
      ""id"": 13,
      ""description"": ""Draft a paragraph detailing how the study addresses specific gaps in the literature."",
      ""prerequisites"": [
        2
      ]
    },
    {
      ""id"": 14,
      ""description"": ""Draft a paragraph explaining how the study refines theories or opens new avenues for research."",
      ""prerequisites"": [
        3,
        4
      ]
    },
    {
      ""id"": 15,
      ""description"": ""Review the drafted academic significance paragraphs for clarity, flow, and completeness."",
      ""prerequisites"": [
        13,
        14
      ]
    },
    {
      ""id"": 16,
      ""description"": ""Write an introductory sentence for the 'Significance to University Administrators' subsection."",
      ""prerequisites"": [
        11
      ]
    },
    {
      ""id"": 17,
      ""description"": ""Draft a paragraph detailing how the study informs policy changes and resource allocation."",
      ""prerequisites"": [
        5,
        6
      ]
    },
    {
      ""id"": 18,
      ""description"": ""Draft a paragraph explaining how the study could impact university reputation or student retention."",
      ""prerequisites"": [
        7
      ]
    },
    {
      ""id"": 19,
      ""description"": ""Review the drafted administrator significance paragraphs for clarity, flow, and completeness."",
      ""prerequisites"": [
        17,
        18
      ]
    },
    {
      ""id"": 20,
      ""description"": ""Write an introductory sentence for the 'Significance to Student Health Services' subsection."",
      ""prerequisites"": [
        11
      ]
    },
    {
      ""id"": 21,
      ""description"": ""Draft a paragraph detailing how the study informs intervention programs and awareness campaigns."",
      ""prerequisites"": [
        8,
        9
      ]
    },
    {
      ""id"": 22,
      ""description"": ""Draft a paragraph explaining how the study could inform counseling approaches."",
      ""prerequisites"": [
        10
      ]
    },
    {
      ""id"": 23,
      ""description"": ""Review the drafted health services significance paragraphs for clarity, flow, and completeness."",
      ""prerequisites"": [
        21,
        22
      ]
    },
    {
      ""id"": 24,
      ""description"": ""Write a concise concluding sentence or two that summarizes the overall significance of the study."",
      ""prerequisites"": [
        15,
        19,
        23
      ]
    },
    {
      ""id"": 25,
      ""description"": ""Read the entire 'Significance of the Study' section to ensure smooth transitions between paragraphs and subsections."",
      ""prerequisites"": [
        12,
        15,
        16,
        19,
        20,
        23,
        24
      ]
    },
    {
      ""id"": 26,
      ""description"": ""Edit the entire section for clear, precise language and remove any redundant phrases."",
      ""prerequisites"": [
        25
      ]
    },
    {
      ""id"": 27,
      ""description"": ""Proofread the entire section for grammatical errors, spelling mistakes, and punctuation issues."",
      ""prerequisites"": [
        26
      ]
    },
    {
      ""id"": 28,
      ""description"": ""Verify that all aspects of the prompt (academic community, university administrators, student health services) have been adequately addressed."",
      ""prerequisites"": [
        27
      ]
    }
  ]
}",,,,,
R039,S3-P4,"I am tasked with writing the methodology section for a research paper on the effects of social media on teenagers, in which we will be surveying and interviewing undergraduate students within our college. Break this down into microtasks that are simple to understand and initiate, noting which microtasks depend on others and which can be worked on independently.","{
  ""microtasks"": [
    {
      ""id"": 1,
      ""description"": ""Define the overall research design (e.g., mixed-methods, descriptive, or exploratory)."",
      ""prerequisites"": []
    },
    {
      ""id"": 2,
      ""description"": ""Determine the sampling strategy (e.g., convenience sampling, purposive sampling)."",
      ""prerequisites"": []
    },
    {
      ""id"": 3,
      ""description"": ""Establish specific inclusion and exclusion criteria for the undergraduate participants."",
      ""prerequisites"": [2]
    },
    {
      ""id"": 4,
      ""description"": ""Calculate or estimate the required sample size for both the survey and the interviews."",
      ""prerequisites"": [2, 3]
    },
    {
      ""id"": 5,
      ""description"": ""Draft the 'Research Design' subsection of the methodology."",
      ""prerequisites"": [1]
    },
    {
      ""id"": 6,
      ""description"": ""Draft the 'Participants and Sampling' subsection of the methodology."",
      ""prerequisites"": [2, 3, 4]
    },
    {
      ""id"": 7,
      ""description"": ""Develop the survey instrument, including specific questions and response scales."",
      ""prerequisites"": [1]
    },
    {
      ""id"": 8,
      ""description"": ""Develop the semi-structured interview guide/protocol."",
      ""prerequisites"": [1]
    },
    {
      ""id"": 9,
      ""description"": ""Draft the 'Instrumentation' subsection describing the survey and interview tools."",
      ""prerequisites"": [7, 8]
    },
    {
      ""id"": 10,
      ""description"": ""Outline the step-by-step procedure for administering the survey and conducting interviews."",
      ""prerequisites"": [7, 8]
    },
    {
      ""id"": 11,
      ""description"": ""Draft the 'Data Collection Procedures' subsection."",
      ""prerequisites"": [10]
    },
    {
      ""id"": 12,
      ""description"": ""Identify the statistical methods to be used for analyzing survey data."",
      ""prerequisites"": [1, 7]
    },
    {
      ""id"": 13,
      ""description"": ""Identify the qualitative analysis method to be used for interview data (e.g., thematic analysis)."",
      ""prerequisites"": [1, 8]
    },
    {
      ""id"": 14,
      ""description"": ""Draft the 'Data Analysis' subsection."",
      ""prerequisites"": [12, 13]
    },
    {
      ""id"": 15,
      ""description"": ""Outline the ethical protocols, including informed consent, anonymity, and data storage."",
      ""prerequisites"": []
    },
    {
      ""id"": 16,
      ""description"": ""Draft the 'Ethical Considerations' subsection."",
      ""prerequisites"": [15]
    },
    {
      ""id"": 17,
      ""description"": ""Review and integrate all subsections into a single, cohesive methodology section."",
      ""prerequisites"": [5, 6, 9, 11, 14, 16]
    }
  ]
}",,,,,
R040,S3-P10,"I just got my draft of the Introduction chapter back from my thesis adviser, and I am overwhelmed by the required revisions. The adviser left three main comments: 1) The research gap is not clearly explicitly stated, 2) The transition between the background context and the problem statement is abrupt and confusing, and 3) I need to incorporate at least three more recent sources (published between 2024-2026) to justify the severity of the problem. Break this revision process down into actionable microtasks so I can tackle these edits without panicking, noting which microtasks depend on others and which can be worked on independently.","{
  ""microtasks"": [
    {
      ""id"": 1,
      ""description"": ""Review the Introduction chapter to identify the current location and clarity of the research gap statement."",
      ""prerequisites"": []
    },
    {
      ""id"": 2,
      ""description"": ""Draft one to three explicit sentences clearly stating the research gap."",
      ""prerequisites"": [
        1
      ]
    },
    {
      ""id"": 3,
      ""description"": ""Integrate the drafted research gap statement into the Introduction chapter."",
      ""prerequisites"": [
        2
      ]
    },
    {
      ""id"": 4,
      ""description"": ""Read the section of the Introduction chapter between the background context and the problem statement to identify the abrupt transition."",
      ""prerequisites"": []
    },
    {
      ""id"": 5,
      ""description"": ""Pinpoint specific phrases or sentences that make the transition abrupt or confusing."",
      ""prerequisites"": [
        4
      ]
    },
    {
      ""id"": 6,
      ""description"": ""Brainstorm alternative phrasing, connecting words, or additional sentences to smooth the transition."",
      ""prerequisites"": [
        5
      ]
    },
    {
      ""id"": 7,
      ""description"": ""Draft new transitional text to create a smoother flow between the background context and the problem statement."",
      ""prerequisites"": [
        6
      ]
    },
    {
      ""id"": 8,
      ""description"": ""Integrate the new transitional text into the Introduction chapter."",
      ""prerequisites"": [
        7
      ]
    },
    {
      ""id"": 9,
      ""description"": ""Conduct a literature search for at least three academic sources published between 2024-2026 relevant to the severity of the problem."",
      ""prerequisites"": []
    },
    {
      ""id"": 10,
      ""description"": ""Select at least three highly relevant sources from the search results."",
      ""prerequisites"": [
        9
      ]
    },
    {
      ""id"": 11,
      ""description"": ""Read the selected sources to extract key findings or arguments that justify the severity of the problem."",
      ""prerequisites"": [
        10
      ]
    },
    {
      ""id"": 12,
      ""description"": ""Draft sentences or a paragraph incorporating the findings from the new sources to strengthen the justification of the problem's severity."",
      ""prerequisites"": [
        11
      ]
    },
    {
      ""id"": 13,
      ""description"": ""Integrate the drafted text with new sources into the relevant section of the Introduction chapter."",
      ""prerequisites"": [
        12
      ]
    },
    {
      ""id"": 14,
      ""description"": ""Add the new sources to the reference list or bibliography."",
      ""prerequisites"": [
        13
      ]
    },
    {
      ""id"": 15,
      ""description"": ""Read through the entire revised Introduction chapter to ensure overall coherence, flow, and clarity after all changes."",
      ""prerequisites"": [
        3,
        8,
        13,
        14
      ]
    }
  ]
}",,,,,
R041,S3-P9,"I need to write the Conclusion and Recommendations chapter for our research paper on reward-based habit formation among working professionals. The chapter should summarize key findings from our results, discuss implications for employers and HR practitioners, acknowledge study limitations, and suggest directions for future research. Break this down into microtasks. I can complete one at a time, noting which microtasks depend on others and which can be worked on independently.","{""microtasks"": [{""id"": 1, ""description"": ""Review the results and discussion sections of the research paper to extract the main findings regarding reward-based habit formation."", ""prerequisites"": []}, {""id"": 2, ""description"": ""Draft the summary of key findings, highlighting how rewards influence habit formation among working professionals."", ""prerequisites"": [1]}, {""id"": 3, ""description"": ""Brainstorm and outline actionable implications specifically tailored for employers and HR practitioners based on the key findings."", ""prerequisites"": [1]}, {""id"": 4, ""description"": ""Draft the 'Implications for Practice' section, detailing how HR can implement reward systems to foster positive habits."", ""prerequisites"": [3]}, {""id"": 5, ""description"": ""Identify and list the methodological and contextual limitations of the study (e.g., sample size, self-reporting, industry scope)."", ""prerequisites"": []}, {""id"": 6, ""description"": ""Draft the 'Limitations' section of the chapter."", ""prerequisites"": [5]}, {""id"": 7, ""description"": ""Brainstorm future research directions that address the identified limitations and build upon the study's findings."", ""prerequisites"": [1, 5]}, {""id"": 8, ""description"": ""Draft the 'Directions for Future Research' section."", ""prerequisites"": [7]}, {""id"": 9, ""description"": ""Draft the final concluding paragraph to provide a strong, overarching wrap-up of the study's contribution."", ""prerequisites"": [2]}, {""id"": 10, ""description"": ""Compile, edit, and format all drafted sections into a cohesive 'Conclusion and Recommendations' chapter, ensuring smooth transitions."", ""prerequisites"": [2, 4, 6, 8, 9]}]}",,,,,
R042,S3-P9,"I need to write the Conclusion and Recommendations chapter for our research paper on reward-based habit formation among working professionals. The chapter should summarize key findings from our results, discuss implications for employers and HR practitioners, acknowledge study limitations, and suggest directions for future research. Break this down into microtasks. I can complete one at a time, noting which microtasks depend on others and which can be worked on independently.","{
  ""microtasks"": [
    {
      ""id"": 1,
      ""description"": ""Outline the main sections for the Conclusion and Recommendations chapter (e.g., Summary of Findings, Implications, Limitations, Future Research)."",
      ""prerequisites"": []
    },
    {
      ""id"": 2,
      ""description"": ""Review the 'Results' chapter to identify the most significant findings related to reward-based habit formation."",
      ""prerequisites"": []
    },
    {
      ""id"": 3,
      ""description"": ""Identify potential limitations of the study's methodology, sample, or scope."",
      ""prerequisites"": []
    },
    {
      ""id"": 4,
      ""description"": ""Draft a section summarizing the key findings from the 'Results' chapter clearly and concisely."",
      ""prerequisites"": [
        2
      ]
    },
    {
      ""id"": 5,
      ""description"": ""Brainstorm practical implications of the key findings for employers and HR practitioners."",
      ""prerequisites"": [
        4
      ]
    },
    {
      ""id"": 6,
      ""description"": ""Draft a section discussing the implications for employers and HR practitioners, linking them directly to the findings."",
      ""prerequisites"": [
        5
      ]
    },
    {
      ""id"": 7,
      ""description"": ""Draft a section acknowledging the identified study limitations and their potential impact."",
      ""prerequisites"": [
        3
      ]
    },
    {
      ""id"": 8,
      ""description"": ""Brainstorm specific, actionable directions for future research based on the study's findings and limitations."",
      ""prerequisites"": [
        4,
        7
      ]
    },
    {
      ""id"": 9,
      ""description"": ""Draft a section outlining the suggested directions for future research."",
      ""prerequisites"": [
        8
      ]
    },
    {
      ""id"": 10,
      ""description"": ""Draft a brief introductory paragraph for the Conclusion and Recommendations chapter."",
      ""prerequisites"": [
        1
      ]
    },
    {
      ""id"": 11,
      ""description"": ""Draft a brief concluding paragraph for the Conclusion and Recommendations chapter."",
      ""prerequisites"": [
        6,
        7,
        9
      ]
    },
    {
      ""id"": 12,
      ""description"": ""Review the entire chapter for clarity, coherence, and logical flow between sections."",
      ""prerequisites"": [
        6,
        7,
        9,
        10,
        11
      ]
    },
    {
      ""id"": 13,
      ""description"": ""Check for consistency in terminology, formatting, and tone throughout the chapter."",
      ""prerequisites"": [
        12
      ]
    },
    {
      ""id"": 14,
      ""description"": ""Proofread the chapter for grammar, spelling, punctuation, and typographical errors."",
      ""prerequisites"": [
        13
      ]
    }
  ]
}",,,,,
R043,S3-P10,"I just got my draft of the Introduction chapter back from my thesis adviser, and I am overwhelmed by the required revisions. The adviser left three main comments: 1) The research gap is not clearly explicitly stated, 2) The transition between the background context and the problem statement is abrupt and confusing, and 3) I need to incorporate at least three more recent sources (published between 2024-2026) to justify the severity of the problem. Break this revision process down into actionable microtasks so I can tackle these edits without panicking, noting which microtasks depend on others and which can be worked on independently.","{
  ""microtasks"": [
    {
      ""id"": 1,
      ""description"": ""Search academic databases for at least three sources published between 2024-2026 that demonstrate the severity of the research problem."",
      ""prerequisites"": []
    },
    {
      ""id"": 2,
      ""description"": ""Extract key findings, statistics, or arguments from the selected 2024-2026 sources to use as evidence."",
      ""prerequisites"": [1]
    },
    {
      ""id"": 3,
      ""description"": ""Draft sentences incorporating the new 2024-2026 sources into the background context section of the Introduction."",
      ""prerequisites"": [2]
    },
    {
      ""id"": 4,
      ""description"": ""Draft a single, explicit sentence that clearly defines the research gap (e.g., 'However, previous research has not yet addressed...')."",
      ""prerequisites"": []
    },
    {
      ""id"": 5,
      ""description"": ""Identify the exact location in the current draft where the research gap statement should be positioned."",
      ""prerequisites"": []
    },
    {
      ""id"": 6,
      ""description"": ""Insert the drafted research gap statement into the identified location and adjust the immediate surrounding sentences for basic readability."",
      ""prerequisites"": [4, 5]
    },
    {
      ""id"": 7,
      ""description"": ""Review the connection between the updated background context (containing the new sources) and the problem statement (containing the new gap statement) to pinpoint the exact transition point."",
      ""prerequisites"": [3, 6]
    },
    {
      ""id"": 8,
      ""description"": ""Draft transitional sentences or a short paragraph to logically bridge the background context and the problem statement."",
      ""prerequisites"": [7]
    },
    {
      ""id"": 9,
      ""description"": ""Read through the entire revised Introduction chapter to ensure cohesive flow, logical progression, and correct citation formatting for the new sources."",
      ""prerequisites"": [8]
    }
  ]
}",,,,,
R044,S3-P3,"I need to write the Significance of the Study section for a research paper on sleep deprivation and academic performance among undergraduate students. The section needs to address significance to the academic community, to university administrators, and to student health services. Give me the most granular breakdown of microtasks possible for writing this section.","{""microtasks"": [{""id"": 1, ""description"": ""Identify specific theoretical gaps in existing sleep and academic performance literature."", ""prerequisites"": []}, {""id"": 2, ""description"": ""Identify specific empirical or methodological gaps in existing sleep and academic performance literature."", ""prerequisites"": []}, {""id"": 3, ""description"": ""List potential administrative implications (e.g., scheduling, retention policies, academic support)."", ""prerequisites"": []}, {""id"": 4, ""description"": ""List potential health service implications (e.g., wellness programming, counseling, preventative education)."", ""prerequisites"": []}, {""id"": 5, ""description"": ""Draft the academic community subsection regarding theoretical contributions."", ""prerequisites"": [1]}, {""id"": 6, ""description"": ""Draft the academic community subsection regarding empirical or methodological contributions."", ""prerequisites"": [2]}, {""id"": 7, ""description"": ""Draft the university administrator subsection."", ""prerequisites"": [3]}, {""id"": 8, ""description"": ""Draft the student health services subsection."", ""prerequisites"": [4]}, {""id"": 9, ""description"": ""Write the introductory sentence or paragraph for the Significance of the Study section."", ""prerequisites"": []}, {""id"": 10, ""description"": ""Write the concluding sentence or paragraph for the Significance of the Study section."", ""prerequisites"": [5, 6, 7, 8]}, {""id"": 11, ""description"": ""Assemble the introductory paragraph, stakeholder subsections, and concluding paragraph into a single draft."", ""prerequisites"": [9, 5, 6, 7, 8, 10]}, {""id"": 12, ""description"": ""Review and edit the section for smooth transitions between the different stakeholder groups."", ""prerequisites"": [11]}]}",,,,,
R045,S3-P5,I am writing the scope and limitations section for our research paper on peer pressure and risk-taking behavior among adolescents. We will only have high school students from our partner schools as participants. Another limitation is that we are not measuring long-term behavioral outcomes beyond the school year. Create microtasks that I can accomplish procedurally to complete this section of the paper.,"{
  ""microtasks"": [
    {
      ""id"": 1,
      ""description"": ""Define the demographic parameters (e.g., age range, grade levels) of the adolescent participants."",
      ""prerequisites"": []
    },
    {
      ""id"": 2,
      ""description"": ""Define the institutional boundaries (the specific partner schools) included in the study."",
      ""prerequisites"": []
    },
    {
      ""id"": 3,
      ""description"": ""Define the specific variables (peer pressure and risk-taking behavior) to be measured."",
      ""prerequisites"": []
    },
    {
      ""id"": 4,
      ""description"": ""Write the Scope paragraph by synthesizing the demographic, institutional, and variable definitions."",
      ""prerequisites"": [1, 2, 3]
    },
    {
      ""id"": 5,
      ""description"": ""Draft a statement regarding the sampling limitation caused by the focus on partner schools."",
      ""prerequisites"": [2]
    },
    {
      ""id"": 6,
      ""description"": ""Draft a statement regarding the temporal limitation caused by the lack of long-term behavioral data."",
      ""prerequisites"": []
    },
    {
      ""id"": 7,
      ""description"": ""Write the Limitations paragraph by synthesizing the sampling and temporal statements."",
      ""prerequisites"": [5, 6]
    },
    {
      ""id"": 8,
      ""description"": ""Review the combined Scope and Limitations section for academic tone and logical flow."",
      ""prerequisites"": [4, 7]
    }
  ]
}",,,,,
R046,S3-P8,"I need to write the Results and Discussion chapter for a research paper on group conformity in decision-making among university students. We ran a controlled group experiment with 80 participants and found that individuals were significantly more likely to change their answer when exposed to unanimous incorrect group responses, along with several recurring themes from follow-up interviews about social pressure. Break this down into microtasks for presenting the quantitative results, discussing the qualitative themes, and connecting both back to the research questions, noting which microtasks depend on others and which can be worked on independently.","{""microtasks"": [{""id"": 1, ""description"": ""Organize raw experimental data from the 80 participants."", ""prerequisites"": []}, {""id"": 2, ""description"": ""Generate statistical tables and figures representing conformity rates."", ""prerequisites"": [1]}, {""id"": 3, ""description"": ""Write the quantitative results section describing the significance of answer changes."", ""prerequisites"": [2]}, {""id"": 4, ""description"": ""Code interview transcripts into recurring themes."", ""prerequisites"": []}, {""id"": 5, ""description"": ""Select specific quotes that illustrate the social pressure themes."", ""prerequisites"": [4]}, {""id"": 6, ""description"": ""Write the qualitative results section describing the themes and quotes."", ""prerequisites"": [5]}, {""id"": 7, ""description"": ""Compare the quantitative conformity findings to existing research literature."", ""prerequisites"": [3]}, {""id"": 8, ""description"": ""Compare the qualitative social pressure themes to existing research literature."", ""prerequisites"": [6]}, {""id"": 9, ""description"": ""Synthesize the quantitative and qualitative findings to address the research questions."", ""prerequisites"": [7, 8]}, {""id"": 10, ""description"": ""Draft the limitations and implications of the study."", ""prerequisites"": [9]}]}",,,,,
